ACCOUNT_AGE,CUSTOMER_AGE,POLICY_NUMBER,POLICY_START_DATE,POLICY_STATE,LIABILITY_AMOUNT,DEDUCTABLE,ANNUAL_FEE,UMBRELLA_LIMIT,ZIP_CODE,GENDER,EDUCATION_LEVEL,OCCUPATION,CAPITAL_GAINS,INCIDENT_DATE,INCIDENT_TYPE,COLLISION_TYPE,INCIDENT_SEVERITY,AUTHORITIES,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR,NUMBER_OF_VEHICLES,PROPERTY_DAMAGE,BODILY_INJURIES,WITNESSES,POLICE_REPORT,TOTAL_CLAIM_AMOUNT,INJURY_CLAIM,PROPERTY_CLAIM,VEHICLE_CLAIM,AUTO_MAKE,AUTO_MODEL,AUTO_YEAR,FRAUD
328,48,521585,2014-10-17,OH,250/500,1000,1406.91,0,466132,MALE,MD,craft-repair,53300,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,2004,Y
228,42,342868,2006-06-27,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,machine-op-inspct,0,2015-01-21,Vehicle Theft,,Minor Damage,Police,VA,Riverwood,8,1,NO,0,0,NO,5070,780,780,3510,Mercedes,E400,2007,Y
134,29,687698,2000-09-06,OH,100/300,2000,1413.14,5000000,430632,FEMALE,PhD,sales,35100,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007,N
256,41,227811,1990-05-25,IL,250/500,2000,1415.74,6000000,608117,FEMALE,PhD,armed-forces,-13500,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,5,1,NO,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y
228,44,367455,2014-06-06,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,20000,2015-02-17,Vehicle Theft,,Minor Damage,,NY,Arlington,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N
256,39,104594,2006-10-12,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,tech-support,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003,Y
137,34,413978,2000-06-04,IN,250/500,1000,1333.35,0,441716,MALE,PhD,prof-specialty,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,0,3,NO,0,0,NO,78650,21450,7150,50050,Nissan,Pathfinder,2012,N
165,37,429027,1990-02-03,IL,100/300,1000,1137.03,0,603195,MALE,Associate,tech-support,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,23,3,NO,2,2,YES,51590,9380,9380,32830,Audi,A5,2015,N
27,33,485665,1997-02-05,IL,100/300,500,1442.99,0,601734,FEMALE,PhD,other-service,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N
212,42,636550,2011-07-25,IL,100/300,500,1315.68,0,600983,MALE,PhD,priv-house-serv,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,14,1,NO,2,1,NO,42300,4700,4700,32900,Saab,92x,1996,N
235,42,543610,2002-05-26,OH,100/300,500,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,38400,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,22,1,YES,2,2,NO,87010,7910,15820,63280,Ford,F150,2002,N
447,61,214618,1999-05-29,OH,100/300,2000,1137.16,0,615561,FEMALE,High School,exec-managerial,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,N
60,23,842643,1997-11-20,OH,500/1000,500,1215.36,3000000,432220,MALE,MD,protective-serv,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000,N
121,34,626808,2012-10-26,OH,100/300,1000,936.61,0,464652,FEMALE,MD,armed-forces,20000,2015-01-08,Parked Car,,Minor Damage,,SC,Springfield,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N
180,38,644081,1998-12-28,OH,250/500,2000,1301.13,0,476685,FEMALE,College,machine-op-inspct,-14200,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y
